Puzzle: 6 hard
Amount: 100
Result details: ./Result/F_different_for_each_variables.csv
Maximum Fitness: 629.0

-----Parameters-----
Objective Function Weight = [0.5, 0.5, 0, 0, 0]
C = 2
beta = 6
N = 50
D = 36
lb = 0
ub = 1
t_max = 1000
count = 33
k = 2
reward = [-1, 1]
alpha = 0.1
gamma = 0.6
eps = 0.6
chi = 0.2

-----Results-----
Fitness:
	Minimal = 0.0
	Maximal = 3.0
	Average = 1.03
	Standard Deviation = 0.8179853299418028
Average Performance = 81.44630192502532%
Runtime:
	Average = 10.70938707113266
	Total = 1070.938707113266
Optimal = 28/100 (28.0%)
Optimal by Preprocessing = 6/100 (6.0%)
Average Preprocessing = 47.11111111111111%

-----Details-----
        304423273,  137652783, 2934172506, 2414273212, 3989380245,
       1101556554, 1987844189, 2053894436,  883504877, 1693104869,
       3273363353, 2133537308, 3783279206, 4261745149, 2497712288,
       1463902288, 2772582819,  123625326, 2313371796, 3443986342,
       3849485479, 3956750954, 3532527708, 2417543967, 3594818305,
        578582985, 1174431212, 1991918882, 3209116759,  738200219,
       3259430360, 4039393557, 2051185828, 2870942813, 2029682123,
       3527557166, 2113819608,  343734732, 3193414188, 1039101145,
       3008178348, 2349498305, 1349691727,  241200577,  629377229,
       1665203458,  284415366, 1805721430,  730187219, 1770188685,
        971967080, 3616557115, 1887250992, 1606679024, 1623705448,
       1151036695, 2080707353, 2116063678, 3606520796,  272666672,
       2375807538, 1436266681, 1809716494, 2094699303,  552480154,
       3834206613, 3663631087, 2975262843,  553337978, 3199834873,
       4028003066, 1459034300, 2114465584, 2548737839, 3486425884,
       2705776562, 2360774297, 1636551800,  808956330, 4293792135,
       1286945833, 1968619956,  998598326, 2880656959, 2739558624,
        283068987, 3818037641, 3399105263, 3203843330, 3096696730,
        586023787,  495952558,  859981797, 2372543523, 2461027778,
       3067836721, 1732343541, 1119394638,  819765866,  633405470,
        102504979, 2744499044, 3204977358, 3640851343, 1992723878,
         98567323,  706318018, 2547842893, 1944284685, 1905823882,
       4223516646, 1351850902,  768169353, 3081299306, 1871569393,
       1129338226,  485223270, 2115518698, 2843917130,  630970728,
       2264327633, 1087668603, 2744083591, 3697999977, 2074323522,
       2027528902, 3944957004, 4078744474, 2717698778,   49897194,
        595595574, 2718695055,  714281462, 2961414638, 2850534765,
       3644298636, 1502815342, 2361266946, 1651940764,  425446433,
       1133993608, 3125444219, 2525829786, 1197093874, 2446136786,
       3168252148, 2799522411, 3574065663,  489924821, 2881587014,
       3162817963,  216690645, 2363374395,  427046554,  195417857,
       2262671211, 2246676340,  639783417, 3199135573,  516114166,
       2190430858, 2760815653, 3731203785, 3453934419, 1875955473,
